uri	prefLabels	prefUnknown	altLabels	altLanguages	altUnknown	notations
http://bartoc.org/en/node/480	1	0	0	0	0	0
http://bartoc.org/en/node/481	1	0	2	1	0	0
http://bartoc.org/en/node/482	2	1	0	0	0	1
http://bartoc.org/en/node/483	1	1	2	1	2	0
http://bartoc.org/en/node/484	2	1	0	0	0	1
http://bartoc.org/en/node/485	1	0	3	2	1	0
http://bartoc.org/en/node/486	2	1	0	0	0	1
http://bartoc.org/en/node/487	1	0	0	0	0	0
http://bartoc.org/en/node/488	1	0	3	2	0	0
http://bartoc.org/en/node/489	1	0	2	1	0	0
http://bartoc.org/en/node/490	1	0	3	1	0	1
http://bartoc.org/en/node/491	1	0	0	0	0	0
http://bartoc.org/en/node/492	1	0	2	1	0	0
http://bartoc.org/en/node/493	1	0	0	0	0	0
http://bartoc.org/en/node/494	1	0	0	0	0	0
http://bartoc.org/en/node/495	1	0	2	2	1	0
http://bartoc.org/en/node/496	1	1	0	0	0	1
http://bartoc.org/en/node/497	1	0	0	0	0	0
http://bartoc.org/en/node/498	1	0	2	1	0	0
http://bartoc.org/en/node/499	1	1	2	2	1	0
http://bartoc.org/en/node/500	1	0	2	1	0	0
http://bartoc.org/en/node/501	2	1	0	0	0	1
http://bartoc.org/en/node/502	2	1	0	0	0	1
http://bartoc.org/en/node/503	2	1	0	0	0	1
http://bartoc.org/en/node/504	1	1	2	2	0	1
http://bartoc.org/en/node/505	2	1	0	0	0	1
http://bartoc.org/en/node/506	1	0	0	0	0	0
http://bartoc.org/en/node/507	1	1	0	0	0	0
http://bartoc.org/en/node/508	1	1	2	2	1	0
http://bartoc.org/en/node/509	1	1	5	2	4	0
http://bartoc.org/en/node/510	1	0	2	1	0	0
http://bartoc.org/en/node/511	1	0	0	0	0	0
http://bartoc.org/en/node/512	1	1	0	0	0	1
http://bartoc.org/en/node/513	2	1	0	0	0	1
http://bartoc.org/en/node/514	2	1	0	0	0	1
http://bartoc.org/en/node/515	1	0	0	0	0	0
http://bartoc.org/en/node/516	1	0	0	0	0	0
http://bartoc.org/en/node/517	1	0	0	0	0	1
http://bartoc.org/en/node/518	1	1	2	2	1	0
http://bartoc.org/en/node/519	1	0	2	1	0	0
http://bartoc.org/en/node/520	1	0	2	1	0	0
http://bartoc.org/en/node/521	1	1	0	0	0	0
http://bartoc.org/en/node/522	1	0	0	0	0	0
http://bartoc.org/en/node/523	1	1	2	2	1	0
http://bartoc.org/en/node/524	1	1	2	1	2	0
http://bartoc.org/en/node/525	2	1	0	0	0	1
http://bartoc.org/en/node/526	2	1	0	0	0	1
